source_table,Sr. No,Name,Topic,Date of Publication,Application Number,Status,col7,col8
Patents 2024,234,Ms. Monika Barsagade,Faculty of Pharmacy,A SMART PATHOPHYSIOLOGY-INFORMED DRUG DELIVERY SYSTEM (SPIDDS),12.07.2024,202421044650,Published,View
Patents 2024,235,Mr. Pawan Kumar,Faculty of Law,AN AI-DRIVEN ENVIRONMENTAL COMPLIANCE AND MONITORING SYSTEM,12.07.2024,202421040981,Published,View
Patents 2024,236,Mr. Ashish Ranjan,Faculty of Pharmacy,A MEDICATION DISPENSING ROBOT FOR PHARMACIES SYSTEM,12.07.2024,202421043751,Published,View
Patents 2024,237,Ms. Pranjali Verma,Faculty of Pharmacy,A MEDITATION IDENTIFICATION AND SORTING SYSTEM,05.07.2024,202421042058,Published,View
Patents 2024,238,Mr. Chandra Pratap Dhimar,Faculty of Pharmacy,A-REAL TIME DIGITAL PILL TRACKER (RDPT) SYSTEM,05.07.2024,202421042060,Published,View
Patents 2024,239,Mr. Jitendra Kumar Sinha,Faculty of Pharmacy,A BIO-SENSING SMART PATH FOR CONTINUOUS DRUG MONITORING (BSSP-CDM) SYSTEM,05.07.2024,202421042061,Published,View
Patents 2024,240,Mr. Nitish Kumar,Faculty of Pharmacy,A MEDICATION TEMPERATURE MONITORING TAG SYSTEM,05.07.2024,202421042063,Published,View
Patents 2024,241,Mr. Sachin Pradhan,Faculty of Pharmacy,A MEDICATION DISPENSING VENDING MACHINE SYSTEM,05.07.2024,202421042064,Published,View
Patents 2024,242,Mr. Mahendra Kumar,Faculty of Pharmacy,PERSONALISED MEDICATION REMINDER MIRROR SYSTEM AND METHOD THEREOF,05.07.2024,202421042065,Published,View
Patents 2024,243,Mr. Lakhan Lal Kashyap,Faculty of Pharmacy,A MEDICATION ADHERENCE TRACKING BRACELET SYSTEM,05.07.2024,202421042066,Published,View
Patents 2024,244,Ms. Naina Bhoyar,Faculty of Pharmacy,A NANOPARTICLE-ENHANCED DRUG DELIVERY SYSTEM,05.07.2024,202421042067,Published,View
Patents 2024,245,Mr. Yogendra Sahu,Faculty of Pharmacy,A SMART PILL BOTTLE WITH BUILT-IN REMINDER SYSTEM,05.07.2024,202421042068,Published,View
Patents 2024,246,Mr. Krishna Kumar Sahu,Faculty of Pharmacy,MEDICATION ADHERENCE MONITORING SYSTEM AND METHOD THEREOF,05.07.2024,202421042069,Published,View
Patents 2024,247,Ms. Poorti Sharma,Faculty of Pharmacy,A VIRTUAL REALITY MEDICATION COUNSELING SYSTEM (VRMCS),05.07.2024,202421042070,Published,View
Patents 2024,248,Ms. Akanksha Dubey,Faculty of Pharmacy,MEDICATION ADHERENCE BRACELET SYSTEM AND METHOD THEREOF,05.07.2024,202421043746,Published,View
Patents 2024,249,Mr. Aman,Faculty of Pharmacy,MEDICATION ADHERENCE GAMING SYSTEM AND METHOD THEREOF,05.07.2024,202421043747,Published,View
Patents 2024,250,Dr. Deepak Kumar Srivastava,Faculty of Law,LEGAL CASE ANALYTICS AND PREDICTION SYSTEM,28.06.2024,202421039954,Published,View
Patents 2024,251,Dr. Amik Sharma,Faculty of Commerce & Management,VIRTUAL REALITY FITNESS TRAINING SYSTEM AND METHOD THEREOF,28.06.2024,202421039955,Published,View
Patents 2024,252,Mr. Narendra Kumar Patel,Faculty of Arts & Humanities,ARTIFICIAL INTELLIGENCE (AI)-POWERED HERITAGE PRESERVATION SYSTEM,28.06.2024,202421039951,Published,View
Patents 2024,253,Dr. Arvind Kumar Tiwari,Faculty of Commerce & Management,DIGITAL CAREER DEVELOPMENT SYSTEM AND METHOD THEREOF,28.06.2024,202421039952,Published,View
Patents 2024,254,Dr. Deepak Tiwari,Faculty of Commerce & Management,SMART FINANCIAL ADVISORY SYSTEM AND METHOD THEREOF,28.06.2024,202421039953,Published,View
Patents 2024,255,Mr. Ashish Agrawal,Faculty of Pharmacy,AN INTEGRATED PHARMACEUTICAL RESEARCH AND PRACTICE PLATFORM SYSTEM,28.06.2024,202421040974,Published,View
Patents 2024,256,Mr. Birendra Kumar,Faculty of Law,A SMART LEGAL CONTRACT VALIDATOR (SLCV) SYSTEM,28.06.2024,202421040194,Published,View
Patents 2024,257,Mr. Alok Kumar Yadav,Faculty of Law,AI-ENHANCED TORT CLAIM ASSESSMENT AND LITIGATION SUPPORT SYSTEM,28.06.2024,202421040195,Published,View
Patents 2024,258,Mrs. Ragini Patel,Faculty of Pharmacy,PHARMACEUTICAL INVENTORY OPTIMIZATION SYSTEM AND METHOD THEREOF,28.06.2024,202421040196,Published,View
Patents 2024,259,Mr. Vijay Shankar Yadav,Faculty of Law,AN INTELLIGENT LEGAL DOCUMENT ANALYSIS AND DRAFTING ASSISTANT SYSTEM,28.06.2024,202421040197,Published,View
Patents 2024,260,Mr. Dilip Dwivedy,Faculty of Law,A SMART CONTRACT LIFECYCLE MANAGEMENT SYSTEM (SCLMS),28.06.2024,202421040198,Published,View
Patents 2024,261,Ms. Tripti Dewangan,Faculty of Pharmacy,PERSONALIZED FAMILY HEALTH AND WELLNESS MANAGEMENT SYSTEM AND METHOD THEREOF,28.06.2024,202421040975,Published,View
Patents 2024,262,Ms. Hemlata Dewangan,Faculty of Pharmacy,PRECISION PHARMACOTHERAPY SYSTEM AND METHOD THEREOF,28.06.2024,202421040976,Published,View
Patents 2024,263,Mr. Suresh Chandra Yadav,Faculty of Law,AN AI-POWERED TAX COMPLIANCE AND OPTIMIZATION SYSTEM,28.06.2024,202421040977,Published,View
Patents 2024,264,Mr. Anil Kumar Singh,Faculty of Law,A WORKPLACE COMPLIANCE AND FAIRNESS MONITORING SYSTEM,28.06.2024,202421040978,Published,View
Patents 2024,265,Mr. Sanjay Kumar Mire,Faculty of Law,AN AI-ENHANCED PHARMACEUTICAL MANUFACTURING COMPLIANCE AND OPTIMIZATION SYSTEM,28.06.2024,202421040979,Published,View
Patents 2024,266,Ms. Prachi Gurudiwan,Faculty of Law,AN INTEGRATED PHARMACEUTICAL EDUCATION AND TRAINING PLATFORM SYSTEM,28.06.2024,202421040980,Published,View
Patents 2024,267,Mr. Arvind Kumar Yadav,Faculty of Law,AN AI-DRIVEN COURT CASE MANAGEMENT AND OPTIMIZATION SYSTEM,28.06.2024,202421040982,Published,View
Patents 2024,268,Ms. Bhuvaneshwari Dewangan,Faculty of Pharmacy,AN PORTABLE PHARMACOGENOMICS ANALYZER (PPA) SYSTEM,28.06.2024,202421040983,Published,View
Patents 2024,269,Mr. Ashish Ranjan,Faculty of Pharmacy,BIOSAFE CABINET,28.06.2024,411569-001,Grant Design,View
Patents 2024,270,Mr. Narendra Kumar Patel,Faculty of Arts & Humanities,ARTIFICIAL INTELLIGENCE (AI)-POWERD HERITAGE PRESERVATION SYSTEM,28.06.2024,2024210399951,Published,View
Patents 2024,271,Mr. Gopesh Kumar Bharti,Faculty of CS & IT,AI- BASED FIRE FIGHTING DRONE,25.06.2024,421142-001,Grant Design,View
Patents 2024,272,Dr. Vinay Chandra Jha,Faculty of Engineering,BOILER WITH HYBRID POWER SYSTEM,24.06.2024,6372287,Grant Design,View
Patents 2024,273,Dr. Aditya Prakash Saxena,Faculty of Education,A METHOD FOR AN ASTROLOGY BASED VIRTUAL ASSISTANT SYSTEM,21.06.2024,202421029135,Published,View
Patents 2024,274,Saroj Nayyar,Faculty of CS & IT,ROBOTIC ARM FOR TEACHING PURPOSE,14.06.2024,418866-001,Grant Design,
Patents 2024,275,Dr. Vijayalaxmi Biradar,Faculty of Engineering,PORTABLE GEO-TAGGED GROUND WATER QUALITY MONITORING SYSTEM,14.06.2024,202421036552,Published,View
Patents 2024,276,Mr. Sunil Kumar Yadav,Faculty of Law,LAW SCHOOL LIBRARY RESOURCES AGGREGATOR SYSTEM AND METHOD THEREOF,14.06.2024,202421037522,Published,View
Patents 2024,277,Dr. Arvind Kumar Saxena,Faculty of Commerce & Management,INTELLIGENT BUSINESS MANAGEMENT SYSTEM AND METHOD THEREOF,14.06.2024,202421037523,Published,View
Patents 2024,278,Mr. Vinod Kumar Vishwakarma,Faculty of Science,A MATH PROBLEM SOLVING SYSTEM,14.06.2024,202421037695,Published,View
Patents 2024,279,Saroj Nayyar,Faculty of CS & IT,DEVICE FOR ENHANCING COMPUTER NETWORK SAFETY,10.06.2024,410051-001,Grant Design,
Patents 2024,280,Praveen Kumar Yadav,Faculty of Science,REMOTE HEALTH MONITORING WITH BLE CAPABILITY FOR COVID-19 DOCTORS MANAGEMENT,31.05.2024,202441040940,Grant Design,
Patents 2024,281,Dr. Rishikant Agnihotri,Faculty of Science,A SYSTEM FOR AUGMENTED REALITY-ENHANCED MATHEMATICS EDUCATION,24.05.2024,202421035573,Published,View
Patents 2024,282,Mr. Sourabh Kumar Shrivastav,Faculty of Science,INTELLIGENT CHEMICAL REACTION PREDICTION SYSTEM AND METHOD THEREOF,24.05.2024,202421035574,Published,View
Patents 2024,283,Mr. Ashwani Kumar Dwivedi,Faculty of Science,A SYSTEM TO DEVELOP INTELLIGENT MATHEMATICS PROBLEM GENERATOR AND METHOD THEREOF,24.05.2024,202421035575,Published,View
Patents 2024,284,Dr. Narendra Kumar Singh,Faculty of Law,PLAINT AND WRITTEN STATEMENT ASSISTANCE SYSTEM AND METHOD THEREOF,24.05.2024,202421035576,Published,View
Patents 2024,285,Mr. Om Hari Narayan Kushwaha,Faculty of Science,DYNAMIC MATH CURRICULUM GENERATION SYSTEM AND METHOD THEREOF,24.05.2024,202421035577,Published,View
Patents 2024,286,Mr. Dindyal Singh,Faculty of Science,SMART PHYSICS EXPERIMENT ASSISTANT SYSTEM AND METHOD THEREOF,17.05.2024,202421030985,Published,View
Patents 2024,287,Mr. Beyant Singh,Faculty of Pharmacy,ULTRASONIC CELL DISRUPTOR,16.05.2024,411195-001,Grant Design,View
Patents 2024,288,Mr. Sourabh Kumar Shrivastav,Faculty of Science,BURNER WITH TEST TUBE HOLDER,16.05.2024,411196-001,Grant Design,View
Patents 2024,289,Dr. Rishikant Agnihotri,Faculty of Science,MATHEMATICAL LEARNING GAME,16.05.2024,411567-001,Grant Design,View
Patents 2024,290,Ms. Prachi Gurudiwan,Faculty of Pharmacy,ZETA POTENTIAL ANALYZER,16.05.2024,411570-001,Grant Design,View
Patents 2024,291,Mr. Nitish Kumar,Faculty of Pharmacy,VAPORIZER STEAMER,16.05.2024,411669-001,Grant Design,View
Patents 2024,292,Mr. Naresh Chandravanshi,Faculty of Pharmacy,DIGITAL PH METER,16.05.2024,412233-001,Grant Design,View
Patents 2024,293,Ms. Urvashi Jain,Faculty of Pharmacy,PILLS DISPENSER,16.05.2024,412306-001,Grant Design,View
Patents 2024,294,Dr. Priya Vij,Faculty of CS & IT,PRINTER,16.05.2024,412322-001,Grant Design,View
Patents 2024,295,Doc. Chetan Kumar,Faculty of Pharmacy,DENTAL IMPRESSION TRAY,16.05.2024,411197-001,Grant Design,View
Patents 2024,296,Mr. Sachin Pradhan,Faculty of Pharmacy,RESPIRATORY NEBULIZER,16.05.2024,412235-001,Grant Design,View
Patents 2024,297,Mr. Yogendra Sahu,Faculty of Pharmacy,DIGITAL WEIGHING SCALE FOR PHARMACEUTICAL LABS,16.05.2024,411192-001,Grant Design,View
Patents 2024,298,Dr. Munshi Lal Patel,Faculty of Science,AN AUTOMATED ANIMAL BEHAVIOUR ANALYSIS SYSTEM AND METHOD THEREOF,10.05.2024,202421030783,Published,View
Patents 2024,299,Mr. Amar Jeet,Faculty of Science,A SMART WILDLIFE MONITORING AND CONSERVATION DRONES SYSTEM,10.05.2024,202421030784,Published,View
Patents 2024,300,Mr. Mukesh Sharma,Faculty of Law,A COURT FEES FOUNDER SYSTEM,10.05.2024,202421030785,Published,View
Patents 2024,301,Zubair Ahmed Khan Dr. Asha Ambarkar,Faculty of CS & IT,IOT BASED WIRELESS SENSOR NODES FOR NETWORK SECURITY,09.05.2024,409715-001,Grant Design,
Patents 2024,302,Mrs. Deepti Patnaik,Faculty of CS & IT,Algorithm for real time economic forecasting and analysis,04.05.2024,202441035498,Published,
Patents 2024,303,Dr. Nidhi Mishra,Faculty of CS & IT,COMPUTER,03.05.2024,411571-001,Grant Design,View
Patents 2024,304,Dr. Awadh Kishor Trivedi,Faculty of Education,"SYSTEM FOR DEVELOPING PART-OF-SPEECH TAGGER, STEMMER AND NAMED ENTITY RECOGNIZER IN MAITHILI",03.05.2024,202421028893,Published,View
Patents 2024,305,Dr. Vijay Kumar Shukla,Faculty of Commerce & Management,A SYSTEM FOR OPTIMIZING FOOD DELIVERY,03.05.2024,202421028894,Published,View
Patents 2024,306,Ms. Srishti Singh Chauhan,Faculty of technology,A METHOD FOR FABRICATING STAINLESS STEELS WITH BIOCOMPATIBLE PROPERTIES FOR MEDICAL DEVICES,03.05.2024,202421028895,Published,View
Patents 2024,307,Mr. Manoj Kumar,Faculty of Science,METHOD OF FABRICATION OF HARD-TO-CUT MATERIALS,03.05.2024,202421028896,Published,View
Patents 2024,308,Dr. Nidhi Mishra,Faculty of CS & IT,SYSTEM FOR SEAMLESSLY CONNECTING ROOM OWNERS AND TENANTS,03.05.2024,202421028897,Published,View
Patents 2024,309,Dr. Priya Vij,Faculty of CS & IT,A SYSTEM AND METHOD FOR STORING FILES IN A DECENTRALISED CLOUD STORAGE,03.05.2024,202421029132,Published,View
Patents 2024,310,Dr. Suchitra Mishra,Faculty of Education,COMPREHENSIVE DOCUMENTATION METHOD FOR HAND BLOCK PRINTING PRESERVATION,03.05.2024,202421029133,Published,View
Patents 2024,311,Dr. Neeraj Tiwari,Faculty of Education,AUTHENTICITY CHECK OF PERSON'S IDENTITY VERIFICATION SYSTEM,03.05.2024,202421029134,Published,View
Patents 2024,312,Dr. S.K. Gupta,Faculty of Education,A METHOD FOR EVALUATING CHANGING STUDENTS MINDSET IN OFFLINE AND ONLINE CLASSES,03.05.2024,202421029136,Published,View
Patents 2024,313,Dr. Saroj Nayyar,Faculty of Education,ARTIFICIALLY INTELLIGENT BOARD FOR TEACHING,30.04.2024,415314-001,Grant Design,View
Patents 2024,314,Dr. Anupa Sinha,Faculty of CS & IT,IOT BASED CROP HEALTH MONITORING DEVICE,27.04.2024,415135-001,Grant Design,View
Patents 2024,315,Mr. Bipin Pradhan,Faculty of Commerce & Management,DIGITAL MARKETING STRATEGIES TO IMPROVE CUSTOMER EXPERIENCE AND ENGAGEMENT,26.04.2024,202441032257,Published,View
Patents 2024,316,Dr. Shraddha Verma,Faculty of Education,AI POWERED INTERACTIVE ENGLISH LEARNING BOARD,21.04.2024,6359678,Grant Design,View
Patents 2024,317,Dr. Shraddha Verma Dr. Lubhawani tripathi Hersha Sharma Mr. Gulshan Kumar Behera,Faculty of Education,Device to identify student alertness,18.04.2024,406453-001,Grant Design,
Patents 2024,318,Dr. Abhishek Kumar Pandey,Faculty of Science,A METHOD FOR FORMULATION OF USER FRIENDLY LESS TOXIC SCENTED TOILET CLEANER,12.04.2024,202421018937,Published,View
Patents 2024,319,Dr. Sanyogita Sahi,Faculty of Science,PORTABLE HIGH-SPEED CENTRIFUGE DEVICE FOR SEPARATING AND ISOLATING COMPONENTS,12.04.2024,406316-001,Grant Design,View
Patents 2024,320,Ms. Khushboo Gupta,Faculty of Pharmacy,AI BASED HEALTHCARE DEVICE FOR DIAGNOSING ABDOMINAL DISEASES,10.04.2024,413169-001,Grant Design,View
Patents 2024,321,Mr. Dindayal Singh,Faculty of Science,DIGITAL AMMETER,02.04.2024,412323-001,Grant Design,View
Patents 2024,322,Dr. Munshi Lal Patel,Faculty of Science,MICROSCOPE,02.04.2024,412324-001,Grant Design,View
Patents 2024,323,Mr. Mahendra Kumar,Faculty of Pharmacy,BLOOD VISCOSITY TESTER,01.04.2024,412231-001,Grant Design,View
Patents 2024,324,Ms. Akanksha Dubey,Faculty of Pharmacy,BLOOD ANALYZER,01.04.2024,412232-001,Grant Design,View
Patents 2024,325,Mr. Lakhan Lal Kashyap,Faculty of Pharmacy,ALCOHOL BREATH DETECTOR,01.04.2024,412234-001,Grant Design,View
Patents 2024,326,Mr. Vinod Kumar Vishwakarma,Faculty of Science,PROTRACTOR WITH A DIGITAL ANGLE FINDER SCALE,01.04.2024,412307-001,Grant Design,View
Patents 2024,327,Mr. Ashwani Kumar Dwivedi,Faculty of Law,DIGITAL COMPASS,27.03.2024,411670-001,Grant Design,View
Patents 2024,328,Mr. Om Hari Narayan Kushwaha,Faculty of Science,DUAL MODE SCIENTIFIC CALCULATOR,27.03.2024,411671-001,Grant Design,View
Patents 2024,329,Dr. Manoj Kumar,Faculty of Science,THERMOMETER,27.03.2024,411672-001,Grant Design,View
Patents 2024,330,Ms. Naina Bhoyar,Faculty of Pharmacy,GRANULATOR,27.03.2024,411673-001,Grant Design,View
Patents 2024,331,Mr. Birendra Kumar Sahu,Faculty of Pharmacy,THERMO FISHER DEVICE,26.03.2024,411565-001,Grant Design,View
Patents 2024,332,Ms. Srishti Singh Chauhan,Faculty of Engineering,SURGICAL LIGHTS,26.03.2024,411568-001,Grant Design,View
Patents 2024,333,Ms. Lokeshwari Sahu,Faculty of Pharmacy,FRIABILITY TESTER,21.03.2024,411194-001,Grant Design,View
Patents 2024,334,Doc. Moniza Nurez Khan,Faculty of Pharmacy,GLUCOSE MONITOR,21.03.2024,411193-001,Grant Design,View
Patents 2024,335,Ms. Bhuvaneshwari Dewangan,Faculty of Pharmacy,HOT BEAD STERILIZER,21.03.2024,411199-001,Grant Design,View
Patents 2024,336,Dr. Sanyogita Shahi,Faculty of Science,PORTABLE HIGH-SPEED CENTRIFUGE DEVICE FOR SEPARATING AND ISOLATING COMPONENTS,18.03.2024,6353581,Grant Design,View
Patents 2024,337,Dr. Sanyogita Shahi,Faculty of Science,SMART KITCHEN WASTE MANAGING DEVICE,18.03.2024,6353580,Grant Design,View
Patents 2024,338,Mr. Pranjul Shrivastava,Faculty of Pharmacy,THREE-DIMENSIONAL DENTAL SCANNING SYSTEM,13.03.2024,6352731,Grant Design,View
Patents 2024,339,Dr. Shailesh Deshmukh,Faculty of Engineering,PORTABLE SOLAR-POWERED WATER PURIFIER,12.03.2024,6350807,Grant Design,View
Patents 2024,340,"""Priyanka Gupta """,Faculty of Science,EFFECT OF CUO NANOPARTICLES ON THE PHOTODEGRADATION OF METHYL ORANGE (MO) DYE IN AQUEOUS MEDIA,01.03.2024,202421002773,Published,View
Patents 2024,341,"""Dr. Shraddha Verma
Dr.Lubhawani Tripathi""",Faculty of Education,TEACHER HAPPINESS MONITORING DEVICE,23.02.2024,403268-001,Grant Design,View
Patents 2024,342,Dr. Naresh Kumar Khunte,Faculty of Engineering,SMART ROBOTIC SYSTEM TO ASSIST STUDENTS,17.02.2024,407875-001,Grant Design,View
Patents 2024,343,Dr. Asha Ambhaikar,Faculty of CS & IT,FACE ANTI-SPOOFING DEVICE,16.02.2024,402922-001,Grant Design,View
Patents 2024,344,"""Dr. Manoj Kumar Nigam
Dr. Shailesh Deshmukh""",Faculty of Engineering,DIGITAL BATTERY CHARGER,09.02.2024,401975-001,Grant Design,View
Patents 2024,345,Dr. Sanyogita Shahi,Faculty of Science,SMART KITCHEN WASTE MANAGING DEVICE,30.01.2024,406080-001,Published,View
Patents 2024,346,Dr. Sanyogita Sahi,Faculty of Science,WEARABLE DEVICE FOR MEASURING BIOSIGNALS FORM THE BODY,19.01.2024,399488-001,Grant Design,View
Patents 2024,347,Mr. Swapnil Shukla,Faculty of Engineering,SYNTHESIS AND PROPERTY STUDIES OF MAGNETIC OXIDE MATERIALS AND ZNO NANOPARTICLES,05.01.2024,202341082659,Published,View
Patents 2024,348,Dr. Sanyogita Shahi,Faculty of Science,WEARABLE DEVICE FOR MEASURING BIOSIGNALS FORM THE BODY,04.01.2024,6333920,Grant,View
Patents 2023,1,"Mr. Ram Girdhar
Dr.Chandra Bhooshan Singh
Mr. Tushar Ranjan Barik
Ms. Nishtha Sharma
Ms. Mariyam Ahmed",Faculty of Commerce & Management,THE IMPACT ADVERTISING RESEARCH PRACTICES ON THE ADVERTISING PERFORMANCE OF COMPANIES,22.12.2023,202321072106,Published,View
Patents 2023,2,"Dr. Nidhi Goenka
Mr.Dheeraj Daniel
Ms. Sujata
Ms. Deepshikha Patel
Ms. Shivangi Makade",Faculty of Commerce & Management,AN EXAMINATION OF FINANCIAL MANAGEMENT METHODOLOGIES IN RELATION TO CAPITAL BUDGETING STRATEGIES AND INVESTMENT DECISION-MAKING,22.12.2023,202321068469,Published,View
Patents 2023,3,Dr. Shraddha Verma,Faculty of Education,BROWSED DATA OPTIMIZING DEVICE,22.12.2023,396561-001,Published,View
Patents 2023,4,"Ms. Nimmi Sharma
Mr.Rajendra Kumar Sahu",Faculty of Engineering,WIRELESS TEMPERATURE ANALYZER,21.12.2023,397580-001,Published,View
Patents 2023,5,Lt. Vibha Chandrakar,Faculty of Science,INTERACTIVE THERMOCHROMIC AND SCENT-INFUSED TEXTILE,24.11.2023,202321072565,Published,View
Patents 2023,6,Mrs. Priti Kumari,Faculty of Education,A SYSTEM FOR ENHANCING HUNTING PROFICIENCY AMONG INDIGENOUS COMMUNITIES,24.11.2023,203221072566,Published,View
Patents 2023,7,Dr. Jasmine Joshi,Faculty of Commerce & Management,PERFORMANCE-BASED APPRAISAL SYSTEM FOR CONDUCTING FAIR AND ACCURATE APPRAISAL PROCESS,24.11.2023,202321072231,Published,View
Patents 2023,8,Mr. Satvik Jain,Faculty of Commerce & Management,A SYSTEM FOR SUGGESTING DYNAMIC PRICES OF PRODUCTS,24.11.2023,202321072232,Published,View
Patents 2023,9,Dr. Swapnil Jain,Faculty of Technology,COOL VEG HAVEN: SUSTAINABLE COOLING SOLUTION FOR RURAL INDIA,24.11.2023,202321072229,Published,View
Patents 2023,10,"Dr. Amit Joshi ,Ms. Jharna Maiti",Faculty of Science,A METHOD FOR ISOLATING BIOACTIVE COMPOUNDS FROM THE GINKGO BILOBA PLANT HAVING ANTICANCER PROPERTY,21.11.2023,202321072230,Published,View
Patents 2023,11,Dr. Dhananjay Kumar Jain,Faculty of Science,A SYSTEM AND METHOD FOR SUGGESTING YOGIC REMEDIES FOR PSYCHOPHYSIOLOGICAL GENITOURINARY DISORDERS,21.11.2023,202321030003,Published,View
Patents 2023,12,"Mr. Aman Kumar Gupta,Mr. Piyush Das",Faculty of Science & Technology,AN AI-BASED SYSTEM AND METHOD FOR GENERATING ARCHITECTURAL DESIGNS OF INSTITUTIONAL BUILDINGS,21.11.2023,202321030004,Published,View
Patents 2023,13,Dr. Sandip Prasad Tiwari,Faculty of Pharmacy,ARTIFICIAL INTELLIGENCE BASED DEVICE FOR FINGER PLETHYSMOGRAPH,06.11.2023,6324344,Grant,View
Patents 2023,14,Dr. Sanyogita Sahi,Faculty of Science,DEVICE FOR DETECTING CARBON POLLUTION,30.10.2023,393099-001,Grant Design,View
Patents 2023,15,Dr. Sandip Prasad Tiwari,Faculty of Pharmacy,DEVICE FOR DEVELOPING NANO CAPSULES FOR PEPTIC ULCER,25.10.2023,6321691,Published,View
Patents 2023,16,Mr. Om Prakash Dewangan,Faculty of IT,AI-ENABLED MOBILE DEVICE FOR LOGISTIC FACILITY MANAGEMENT,20.10.2023,392134-001,Published,View
Patents 2023,17,Dr. Lubhawani Tripathi,Faculty of Education,STUDENT PERFORMANCE PREDICTION DEVICE,18.10.2023,397906-001,Published,View
Patents 2023,18,Mrs. Nishtha Sharma,Faculty of Commerce & Management,INNOVATIVE TECHNIQUE TO EXPORT INDIAN COMMODITIES TO OTHER COUNTRIES BY IMPLEMENTING NOVEL SUPPLY CHAIN PROCESS.,18.10.2023,202321063192,Published,View
Patents 2023,19,Dr. Sanyogita Sahi,Faculty of Science,BIOSENSOR DEVICE FOR CANCER CELL DETECTION,16.10.2023,393041-002,Grant Design,View
Patents 2023,20,Dr. Sanyogita Shahi,Faculty of Science,DEVICE FOR DETECTING CARBON POLLUTION,12.10.2023,6317657,Grant,View
Patents 2023,21,"Dr. Sanyogita Shahi ,Dr. Vijaylaxmi Birdar ,Mr. Honey Gaur",Faculty of Science & Technology,BIOSENSOR DEVICE FOR CANCER CELL DETECTION,12.10.2023,6317655,Grant,View
Patents 2023,22,Dr. Sanyogita Sahi,Faculty of Science,DEVICE FOR DETECTING SOIL QUALITY,12.10.2023,6317656,Grant Design,View
Patents 2023,23,Dr. Sanyogita Shahi,Faculty of Science,DEVICE FOR DETECTING SOIL QUALITY,05.10.2023,393041-001,Published,View
Patents 2023,24,Dr. Sanyogita Shahi,Faculty of Science,CARDIOVASCULAR MECHANICAL DEVICE FOR HEART PATIENT,05.10.2023,393100-001,Published,View
Patents 2023,25,Mr. Om Prakash Dewangan,Faculty of IT,ADVANCED NETWORK SECURITY SYSTEM WITH AI-POWERED THREAT DETECTION,29.09.2023,202321050825,Published,View
Patents 2023,26,Dr. Amit Joshi,Faculty of Science,INFRARED TRACKING LIGHT USED FOR CANCER THERAPY,27-09-2023,392900-001,Published,View
Patents 2023,27,"Dr. Rajesh Kumar Manik,Dr. Shilpi Srivastava,Dr. Asha Ambhaikar,Dr. Faiz Bux,Dr. Dhananjay Jain,Dr. Alok Verma,Dr. Nimesh Joshi,Mr. Sheikh Abdul Kadir",Faculty of Science,SANDHI MITRA: AYURVEDIC SUPPORT FOR JOINT HEALTH,22.09.2023,202321051456,Published,View
Patents 2023,28,Ms. Anupa Sinha,Faculty of IT,ATTENDANCE MANAGEMENT SYSTEM USING BIOMETRICS,04.08.2023,387569-001,Published,View
Patents 2023,29,Dr. Sanyogita Sahi,Faculty of Science,BIOSENSOR DEVICE FOR MEASURING BIOLOGICAL OR CHEMICAL REACTIONS,03.08.2023,383549-001,Grant Design,View
Patents 2023,30,"Mr. Shailesh Deshmukh,Mr. Mahesh Ahuja",Faculty of Technology,DEVICE FOR ELECTRICITY GENERATION FROM WASTEWATER TREATMENT,07.07.2023,383343-001,Published,View
Patents 2023,31,Mr. Ravi Prakash Mahobia,Faculty of Technology,IOT BASED REMOTE ACCESS CONTROL IN WATER LEVEL MONITORING FOR WATER MANAGEMENT,04.07.2023,202341020621,Published,View
Patents 2023,32,Ms. Abhismita Roy,Faculty of Science,IOT BASED WEARABLE HEALTH MONITORING DEVICE,30.06.2023,383007-001,Published,View
Patents 2023,33,Dr. Sanyogita Shahi,Faculty of Science,BIOSENSOR DEVICE FOR MEASURING BIOLOGICAL OR CHEMICAL,28.06.2023,6291366,Grant,View
Patents 2023,34,"Mr. Shailesh Deshmukh,Anu G Pillai,Mr. Rahul Baghel,Mr. Mahesh Ahuja,Dr. Alok Verma",Faculty of Technology,WIRELESS POWER TRANSMISSION SYSTEM USING MAGNETIC RESONANCE COUPLING,23.06.2023,202321035069,Published,View
Patents 2023,35,Dr. Amit Joshi,Faculty of Science,RHODODENDRON ARBOREUM WITH ZINGIBER OFFICINALIS AS A TONIC OF IMMUNOGENICITY,16.06.2023,202321030965,Published,View
Patents 2023,36,Dr. Smita Premanand,Faculty of Science,TIE & DYE TECHNIQUE RECOGNITION SYSTEM (TDRS) FOR TRADITIONAL FABRICS,16.06.2023,202321033569,Published,View
Patents 2023,37,Dr. Ajay Kumar Shukla,Faculty of Arts & Humanities,SYSTEM AND METHOD FOR ANALYZING AND STUDYING CHHATTISGARHI AND BHOJPURI FOLK MUSIC,16.06.2023,202321033873,Published,View
Patents 2023,38,Mr. Nuresh Kumar Khunte,Faculty of Technology,BANANA AND GLASS FIBER REINFORCED HYBRID POLYMER COMPOSITE WITH ENHANCED STRENGTH AND STIFFNESS PROPERTIES,16.06.2023,202321033886,Published,View
Patents 2023,39,Mr. Avtar Kishan Kaul,Faculty of Arts & Humanities,SYSTEM AND METHOD FOR IMPLEMENTING CSRCCBM FOR INDIAN CORPORATIONS,16.06.2023,202321033905,Published,View
