source_table,Sr. No,Name,Topic,Date of Publication,Application Number,Status,col7,col8
Patents 2024,62,"""Mr. Harish Jaiswal
Mr. Vinay Kumar Jaiswal""",Faculty of Pharmacy,A METHOD FOR DESIGNING NANOCARRIERS FOR PRECISION DRUG DELIVERY,01.11.2024,202421072085,Published,View
Patents 2024,63,"""Ms. Priya Shrivastav
Ms. Lumita Sahu""",Faculty of Pharmacy,A SYSTEM FOR AUTOMATED THERAPEUTIC ASSISTANT FOR TARGETED DISEASE INTERVENTION,01.11.2024,202421072086,Published,View
Patents 2024,64,"""Ms. Shivangi Tripathi
Dr. Savyasachi Pandey""",Faculty of Law,A SYSTEM FOR SMART DEVICE FOR SEGREGATION AND DISPOSAL OF ELECTRONIC WASTE MATERIALS,01.11.2024,202421072671,Published,View
Patents 2024,65,"""Dr. Shivali Srivastava
Ms. Surbhi Agrawal""",Faculty of Law,A METHOD FOR MONITORING AND REPORTING WORKPLACE GENDER EQUALITY THROUGH BLOCKCHAIN,01.11.2024,202421072672,Published,View
Patents 2024,66,"""Ms. Harleen Kaur
Mrs. Saloni Tyagi""",Faculty of Law,AN AUTOMATED LEGAL DOCUMENT GENERATION SYSTEM FOR GENDER-NEUTRAL LEGAL PROVISIONS,01.11.2024,202421072673,Published,View
Patents 2024,67,"""Mrs. Rupal Saxena
Ms. Shivangi Tripathi""",Faculty of Law,A SYSTEM AND METHOD FOR MONITORING AND PREVENTING CYBERCRIME THROUGH ARTIFICIAL INTELLIGENCE,01.11.2024,202421072674,Published,View
Patents 2024,68,"""Mr. Smruti Ranjan Dash
Mr. Mrutyunjaya Bhanja""",Faculty of Pharmacy,A COMPUTER-IMPLEMENTED METHOD FOR OPTIMIZING PHARMACOTHERAPY IN PRECISION MEDICINE,01.11.2024,202421072675,Published,View
Patents 2024,69,"""Mr. Naimish Nanda
Ms. Rashmi Sinha""",Faculty of Pharmacy,A COMPUTER-IMPLEMENTED METHOD FOR OPTIMIZING PHARMACOTHERAPY BASED ON AN INDIVIDUAL’S GENETIC PROFILE,01.11.2024,202421072676,Published,View
Patents 2024,70,"""Mr. Chandra Kumar Dhimar
Mrs. Hemlata Dewangan""",Faculty of Pharmacy,A METHOD FOR SIMULTANEOUS TRANSDERMAL DRUG DELIVERY AND BODY FLUID DETECTION,01.11.2024,202421072087,Published,View
Patents 2024,71,"""Ms. Naina Bhoyar
Ms. Tripti Dewangan""",Faculty of Pharmacy,3D-PRINTED MICROCAPSULES FOR SITE-SPECIFIC DRUG DELIVERY,01.11.2024,202421072088,Published,View
Patents 2024,72,"""Ms. Poorti Sharma
Mr. Venu Anand Das""",Faculty of Pharmacy,A METHOD FOR PREPARING A TEMPERATURE-SENSITIVE SMART GEL FOR SUSTAINED RELEASE DRUG FORMULATION,01.11.2024,202421072089,Published,View
Patents 2024,73,Dr. Vijayalaxmi Biradar,Faculty of Engineering,A SYSTEM OF DEEP REINFORCEMENT LEARNING FOR ADAPTIVE ROBOT CONTROL,01.11.2024,202421072090,Published,View
Patents 2024,74,"""Ms. Akanksha Choudhary
Mr. Ayush Gondale""",Faculty of Law,A SYSTEM FOR ONLINE LEGAL FRAMEWORK FOR MANAGING PERSONAL LAW DISPUTES UNDER A UNIFIED CIVIL CODE,01.11.2024,202421072677,Published,View
Patents 2024,75,"""Mr. Ashish Ranjan
Mr. Mahendra Kumar""",Faculty of Pharmacy,A METHOD FOR DETECTING AND MITIGATING DRUG INTERACTIONS IN POLYPHARMACY PATIENTS USING ARTIFICIAL INTELLIGENCE,01.11.2024,202421074187,Published,View
Patents 2024,76,"""Ms. Akanksha Dubey
Ms. Lokeshwari Sahu""",Faculty of Pharmacy,A METHOD FOR REAL-TIME MONITORING OF ADVERSE DRUG REACTIONS USING MACHINE LEARNING,01.11.2024,202421074188,Published,View
Patents 2024,77,"""Dr. Chetan Kumar
Mr. Krishna Kumar Sahu""",Faculty of Pharmacy,A METHOD FOR PREDICTING DRUG EFFICACY IN CLINICAL TRIALS USING AN ARTIFICIAL INTELLIGENCE-BASED PLATFORM,01.11.2024,202421074189,Published,View
Patents 2024,78,Dr. Mohammad Nasir,Faculty of Science,LIBRARY OPAC KIOSK SYSTEM,01.11.2024,202421072133,Published,View
Patents 2024,79,Dr Saroj Nayyar,Faculty of Education,CHILD EDUCATION MONITORING DEVICE USING INTERNET OF THINGS,25.10.2024,428141-001,Grant Design,
Patents 2024,80,"""Dr. Ruchi Chandrakar
Dr. Honey Gaur""",Faculty of Engineering,A METHOD FOR ENHANCING CONSTRUCTION SITE SAFETY,25.10.2024,202421068938,Published,View
Patents 2024,81,"""Mr. Rajendra Kumar Sahu
Mr. Sandeep Roy""",Faculty of Engineering,A METHOD FOR DYNAMICALLY OPTIMIZING A POWER GRID USING MULTI-MODAL ARTIFICIAL INTELLIGENCE-BASED LOAD FORECASTING,25.10.2024,202421068939,Published,View
Patents 2024,82,"""Dr. Honey Gaur
Dr. Ruchi Chandrakar""",Faculty of Engineering,A METHOD FOR SMART MATERIAL SELECTION IN CIVIL ENGINEERING,25.10.2024,202421068940,Published,View
Patents 2024,83,"""Mr. Chandra Kumar Sahu
Dr. Shailesh Deshmukh""",Faculty of Engineering,A METHOD FOR SMART ELECTRICAL NETWORK MANAGEMENT USING ADAPTIVE MACHINE LEARNING ALGORITHMS,25.10.2024,202421068941,Published,View
Patents 2024,84,"""Mr. A.K Kaul
Dr. Manoj Mathew""",Faculty of Arts & Humanities,AN AI-BASED METHOD FOR REAL-TIME CRISIS MANAGEMENT IN SOCIAL WORK,25.10.2024,202421069396,Published,View
Patents 2024,85,"""Mrs. Archana Nagwanshi
Dr. Manoj Mathew""",Faculty of Arts & Humanities,A METHOD FOR PREDICTIVE ANALYTICS IN SOCIAL WORK USING MACHINE LEARNING,25.10.2024,202421069397,Published,View
Patents 2024,86,"""Dr. Anita Samal
Ms. Shruti Singh""",Faculty of Pharmacy,A METHOD FOR PREDICTIVE POLITICAL TREND ANALYSIS USING MACHINE LEARNING,25.10.2024,202421069398,Published,View
Patents 2024,87,"""Ms. Alpana Sharma
Mrs. Nishta Sharma""",Faculty of Commerce & Management,A METHOD FOR OPTIMIZING RESOURCE ALLOCATION USING MACHINE LEARNING ALGORITHMS,25.10.2024,202421069399,Published,View
Patents 2024,88,"""Dr. Shraddha Hirkane
Dr. Ajay Shukla""",Faculty of Arts & Humanities,A METHOD FOR ENHANCING HINDI TEXT ANALYSIS,25.10.2024,202421069400,Published,View
Patents 2024,89,"""Mr. Alok Kumar Yadav
Mr. Indravesh""",Faculty of Law,AN AUTOMATED CRIMINAL CASE EVIDENCE COLLECTION AND ANALYSIS SYSTEM USING AI,25.10.2024,202421070759,Published,View
